2022-12-06 17:58:38,721 INFO    StreamThr :1524526 [internal.py:wandb_internal():88] W&B internal server running at pid: 1524526, started at: 2022-12-06 17:58:38.720809
2022-12-06 17:58:38,722 DEBUG   HandlerThread:1524526 [handler.py:handle_request():139] handle_request: status
2022-12-06 17:58:38,723 DEBUG   SenderThread:1524526 [sender.py:send_request():317] send_request: status
2022-12-06 17:58:38,724 DEBUG   SenderThread:1524526 [sender.py:send():303] send: header
2022-12-06 17:58:38,724 DEBUG   SenderThread:1524526 [sender.py:send():303] send: run
2022-12-06 17:58:38,725 INFO    WriterThread:1524526 [datastore.py:open_for_write():75] open: /volume1/scratch/hdeplaen/Kerch/wandb/run-20221206_175838-15qdcxvm/run-15qdcxvm.wandb
2022-12-06 17:58:39,858 DEBUG   HandlerThread:1524526 [handler.py:handle_request():139] handle_request: check_version
2022-12-06 17:58:39,858 INFO    SenderThread:1524526 [dir_watcher.py:__init__():216] watching files in: /volume1/scratch/hdeplaen/Kerch/wandb/run-20221206_175838-15qdcxvm/files
2022-12-06 17:58:39,859 INFO    SenderThread:1524526 [sender.py:_start_run_threads():928] run started: 15qdcxvm with start time 1670345918.719003
2022-12-06 17:58:39,859 DEBUG   SenderThread:1524526 [sender.py:send():303] send: summary
2022-12-06 17:58:39,859 INFO    SenderThread:1524526 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-12-06 17:58:39,859 DEBUG   SenderThread:1524526 [sender.py:send_request():317] send_request: check_version
2022-12-06 17:58:39,901 DEBUG   HandlerThread:1524526 [handler.py:handle_request():139] handle_request: run_start
2022-12-06 17:58:39,903 DEBUG   HandlerThread:1524526 [system_info.py:__init__():31] System info init
2022-12-06 17:58:39,903 DEBUG   HandlerThread:1524526 [system_info.py:__init__():46] System info init done
2022-12-06 17:58:39,904 INFO    HandlerThread:1524526 [system_monitor.py:start():150] Starting system monitor
2022-12-06 17:58:39,904 INFO    SystemMonitor:1524526 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-12-06 17:58:39,904 INFO    HandlerThread:1524526 [system_monitor.py:probe():168] Collecting system info
2022-12-06 17:58:39,904 INFO    SystemMonitor:1524526 [interfaces.py:start():168] Started cpu
2022-12-06 17:58:39,905 INFO    SystemMonitor:1524526 [interfaces.py:start():168] Started disk
2022-12-06 17:58:39,905 INFO    SystemMonitor:1524526 [interfaces.py:start():168] Started gpu
2022-12-06 17:58:39,906 INFO    SystemMonitor:1524526 [interfaces.py:start():168] Started memory
2022-12-06 17:58:39,906 INFO    SystemMonitor:1524526 [interfaces.py:start():168] Started network
2022-12-06 17:58:39,934 DEBUG   HandlerThread:1524526 [system_info.py:probe():195] Probing system
2022-12-06 17:58:39,935 DEBUG   HandlerThread:1524526 [system_info.py:_probe_git():180] Probing git
